stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0,4.8,0,1.92,0.32,0,0.96,0,0.32,5.76,2.24,0.64,0.96,0,0,0,0.64,0,0.32,0.64,0,0.32,2.24
22Month,0.55,1.09,4.92,0.55,1.09,1.64,0.55,25.15,1.64,1.09,2.19,0,5.47,2.73,0.55,1.09,0.55,0.55,1.64,0,0.55,0.55,0,1.64
