stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,604.79,0,0,0,89.9,0,339.17,0,0,0,0,0,0,0
72hpf,7.49,1.07,1.07,1.07,4.28,0,0,0,0,0,0,0,3.21,3.21,0,241.77,0,1.07,27.81,18.19,1.07,514.57,0,0,5.35,4.28,0,0,0
21Day,5.35,0,2.68,0,5.35,0,0,0,0,0,0,0,0,1.34,0,141.88,0,10.71,0,4.02,0,65.59,5.35,0,0,0,0,0,1.34
3Month,0,0.32,2.24,0,0,0.96,0.64,0.96,0,1.6,0.64,0.32,0,0,0.96,40.63,1.6,0,0.32,0,0,0.32,0,0.64,0,0,1.6,0.96,0.96
22Month,0,0,0,0,0,0,0,0,0.55,4.92,0,0,0,0,0.55,7.65,0,1.09,0,0,0,0,0,0,0,0,0,0,0
