stage,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell
24hpf,0,0,0,0,4.09,4.09,0,0
21Day,1.34,0,0,2.68,0,0,0,0
3Month,6.4,1.6,0.32,0.32,0,0,0.32,0.32
