stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,2.14,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,9.63,3.21,0,2.14,0,1.07,2.14,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0,1.34,0,0,2.68,4.02,0,0,1.34,2.68,1.34,1.34,0,0,0
3Month,0.64,0.32,2.24,0,0,0,0.64,2.24,0,5.44,1.92,0,1.6,0.64,2.24,2.24,1.92,0.32,2.24,0,0,0.32,0.32,1.6,302.67,1.28,0,0.96,96.94,1.92
22Month,0,0.55,2.19,0,0,0.55,0.55,1.09,0.55,24.6,0.55,0,1.09,0.55,0.55,1.09,1.64,0.55,0,0,0,1.09,0,0,18.59,0.55,0,0,0,0.55
