stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,1.07,0,0,0,4.28,0,0,0,0,0,0,0,0,0
21Day,2.68,0,0,4.02,0,1.34,0,1.34,0,0,0,0,0,0,4.02,210.15,0,0,6.69,0,9.37,6.69,0,1.34,42.83,18.74,0,1.34,0,1.34,5.35,0,0,1.34
3Month,0,4.48,0.96,7.68,0.96,0,2.24,6.4,12.16,3.2,0.32,12.16,0.32,1.6,2.56,168.93,3.2,0,93.43,0.64,0.96,0.32,0.32,0,0.32,0.96,18.56,0,0,0,0.64,0.96,0.64,1.92
22Month,0,0.55,0.55,1.64,0.55,0,0,3.28,21.87,1.09,0,5.47,0,0,2.19,21.32,0,0.55,27.33,0.55,1.09,0,0,0,0.55,0,14.76,0,0.55,0,0,0,0,0.55
