stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,28.6,0,0,612.96,4.09,0,0,0,0,0,8.17,0,0,0,0,12.26,36.78,36.78,81.73,0,44.95,4817.87,0,0,16.35,0,0,0,0,12.26,0,0
72hpf,8.56,1.07,0,81.3,1.07,10.7,0,0,0,0,0,0,0,0,0,2.14,33.16,2.14,11.77,1.07,192.56,519.92,1.07,0,7.49,1.07,0,111.26,0,0,0,0
21Day,0,0,0,34.8,1.34,4.02,0,1.34,0,0,0,1.34,0,1.34,0,0,9.37,0,4.02,1.34,26.77,124.48,0,0,4.02,5.35,0,21.42,1.34,1.34,0,0
3Month,0,1.28,0.32,40.31,0.32,0,0.64,0,0.32,0,0,1.92,0.96,0.32,0.96,1.92,25.6,2.24,1.28,0.64,3.52,3.52,0.32,0,0,0.64,2.88,0.32,0,0,2.24,0.64
22Month,0,0,1.09,21.87,0,0,0,0,1.09,0.55,0,11.48,1.09,0,0.55,0.55,5.47,1.64,1.64,0,1.09,0.55,0.55,0.55,0,0,1.09,0.55,0,0,0,0
