stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,1.07,0,0,0,0,0,0,1.07,0,2.14,0,0,25.67,0,0,0,0,0,0,1.07,0,0
21Day,0,2.68,0,0,0,0,0,2.68,0,0,1.34,2.68,2.68,9.37,0,13.39,0,0,0,0,1.34,1.34,0,0,0
3Month,1.6,2.88,0.64,0,0.32,1.28,0.32,0,0.64,0.32,0.64,6.4,0.96,2.56,1.28,1.6,0.64,0.64,0.96,0.32,10.88,0,0,9.92,5.44
22Month,0.55,1.09,0.55,0,0,0,0,0,1.09,0,0.55,3.83,0.55,0.55,0,0,0,0.55,0,0,2.73,0,0,0,1.09
