stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,8.17,0,0,0,0,61.3,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,17.12,2.14,0,7.49,1.07,7.49,0,0,0,0,0,0,6.42,19.26,0,27.81,0,2.14,0,0,1617.52,73.82,2.14,6.42,25.67,0,0,12.84,0,0,3.21,0,0
21Day,2.68,0,1.34,14.72,0,20.08,1.34,8.03,1.34,0,6.69,4.02,2.68,10.71,2.68,78.97,0,0,2.68,0,915.56,32.12,2.68,21.42,29.45,16.06,0,6.69,4.02,9.37,2.68,0,1.34
3Month,0.32,0,0,1.92,0.32,0,0,0.64,2.56,1.92,0,0.32,0.32,0.64,0.32,43.51,1.28,0,0,1.28,3.52,0.64,0.32,5.12,0.32,0,1.28,0,0.32,0,0,0.32,0
22Month,0,1.09,0.55,2.73,0,0,0,1.64,10.39,1.64,1.09,1.64,0,1.64,0.55,141.04,0,0.55,1.64,0,3.28,0,0,1.09,0.55,0.55,0.55,0.55,0,0,0,0,0.55
