stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Muscle_cell,Primordial_germ_cell
3Month,2.88,0.32,0.32,0.64,0.32,18.88,0.32
22Month,0,0,0,0,0,1.64,0
