stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,12.26,0,0,0,0
72hpf,0,0,0,0,0,0,0,3.21,0,1.07,0,0,0
3Month,0.96,0.32,0.32,0.32,0.32,0.64,0.64,0,0,0.32,4.48,13.44,0.32
