stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0,6.42,1.07,0,0,0,0,0
21Day,1.34,2.68,4.02,4.02,0,0,0,0,0,0,0,0,0,0,0,2.68,1.34,0,0,0,0,0
3Month,0,0.32,0,0,0.64,0,8.32,1.28,1.28,0.64,0.96,0.64,1.28,0,0.32,0.32,0,0.32,2.56,0.32,19.52,0.96
22Month,0,0,0,0,0,0.55,12.57,0.55,1.09,0,0,0,0,0.55,0,0,0,0,0,0,0,0
