stage,Epithelial_cell,Hatching_gland,Hepatocyte,Neural_progenitor_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell
24hpf,0,4.09,0,8.17,0,0,0
72hpf,0,0,0,0,0,1.07,0
21Day,4.02,0,0,0,0,0,0
22Month,0.55,0,1.09,0,1.64,0,0.55
