stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,4.28,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,2.14,0,0,237.49,5.35,0,2.14,2.14,0,0,0,0,0,0
21Day,0,0,4.02,2.68,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0,0,0,95.04,6.69,2.68,0,0,0,0,1.34,1.34,0,1.34
3Month,0,0.32,2.56,0,0,0,0.32,0.32,0,5.76,0.96,0.96,0,2.56,0.96,0.96,0.32,0.32,0,0.32,3.84,0,1.28,0.96,0,0.32,0.64,0,0,1.6,1.6
22Month,0,2.73,3.28,0,0.55,0.55,0,2.73,1.09,34.99,2.19,2.73,0.55,1.09,1.09,6.01,0,0.55,1.09,0,3.28,0,6.01,0,0,0,2.19,0.55,0,0,2.19
