stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,4.09,40.86,0,0,0,0,0,0,0,0,0
72hpf,2.14,2.14,0,4.28,0,2.14,0,0,0,1.07,0,0,7.49,5.35,0,11.77,0,1.07,0,0,9.63,2.14,0,18.19,0,0,0,2.14,0,0,0
21Day,1.34,0,0,25.43,2.68,4.02,0,0,0,0,0,8.03,0,4.02,0,13.39,0,0,4.02,0,4.02,1.34,0,9.37,1.34,0,1.34,0,0,0,0
3Month,0,0,1.28,23.36,0,0,1.28,1.28,0,129.58,1.92,62.39,1.6,6.72,0.32,2.88,0.32,0,0.32,0.32,0.32,0,0.64,0,1.28,5.12,0.64,0,1.6,1.28,2.56
22Month,0,1.09,0.55,3.28,0,0,1.64,0.55,1.64,214.29,1.64,18.04,0.55,1.09,1.09,6.56,0,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0
