stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,4.28,3.21,0,0,0,0,0,0,0,0,0,1.07,2.14,0,4.28,0,0,0,0,410.8,5.35,0,0,0,3.21,0,0,1.07,220.38,175.45,2.14,0,0
21Day,1.34,1.34,0,6.69,0,0,0,0,0,0,0,1.34,0,0,0,6.69,0,5.35,0,0,2.68,0,48.19,2.68,0,1.34,0,2.68,8.03,0,0,311.88,546.12,4.02,0,1.34
3Month,0,0.32,0.64,2.56,0,0.32,0,0.64,0.64,0,6.4,0.96,0.32,4.16,0,0.64,0.32,0.32,0.32,0,0.32,0.32,1.28,0,0.32,0,0,0,0,0.64,0,1.92,0,0.32,0.32,0.64
22Month,1.09,3.28,0.55,6.56,0,1.09,0.55,2.19,6.01,4.37,157.98,6.01,3.28,13.12,0,2.19,4.37,12.57,0,6.01,0.55,0,1.09,0.55,0.55,0.55,0.55,0.55,0,6.56,1.09,127.92,0,0,0,1.09
