stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,8.17,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,2.14,0,113.4,2.14,0,1.07,0,0,0,0,0,8.56,14.98,0,0,0
21Day,1.34,1.34,4.02,4.02,0,0,0,1.34,0,0,1.34,2.68,5.35,0,9.37,2.68,0,1.34,4.02,2.68,0,0,0,60.23,341.33,0,0,0
3Month,0.32,0,2.88,0,0.32,0.32,6.4,0,2.88,1.28,1.28,1.28,1.28,0.32,1.6,0.32,0.64,0.32,0.32,2.88,0.32,200.29,0.64,0.32,0.96,0.32,24.64,0.32
22Month,0.55,0,0,0,0,0,6.56,0,0,0,0,0.55,0,0,0,0,0,0,0.55,0,0,42.64,0.55,0,0,0,0,0.55
