stage,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Nephron_cell,Neural_cell,Oligodendrocyte,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0,0
3Month,1.28,6.08,0.64,1.92,0.32,22.08,1.6,0.32,0,0.32,0.32,0.64,1.28
22Month,0.55,1.09,0,0,0,0,0,0,0,0,0,0,0
