stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell
24hpf,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,3.21,1.07,0,1.07,0,1.07,0
21Day,0,0,0,0,0,0,0,0,6.69,0,0,2.68,1.34,0,1.34
3Month,0,0.32,0.32,0.32,0,0.64,0.32,0.64,0.32,0,0.32,0,0,0,0
22Month,0,0.55,0,0,0.55,0,0,0,0.55,0,0,0,0,0,0
