stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,33.46,0,0,1.34,0,0,2.68,0,1.34,69.6,2.68,4.02,0,0,0,0,4.02,0,0,2.68,0,1.34,2.68,0,0,0
3Month,0,0.32,24.96,0.96,1.28,4.8,6.08,6.4,0.64,6.08,0.96,5.44,0.96,1.6,0,0.32,0.64,0.64,0,0.64,0,0,0.32,1.92,0,0.32,3.52,11.84
22Month,0.55,1.09,7.65,0,2.73,3.83,18.59,1.09,0.55,12.03,0,2.73,1.09,2.73,0.55,0,0,0.55,0,0.55,0.55,0,0,1.09,0,0,0,1.09
