stage,Epithelial_cell,Granulosa_cell,Hepatocyte,Macrophage,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,4.09,0,0,0,0,0
21Day,0,0,0,0,13.39,0,0,0,0
3Month,0.64,0,0,0,0,0,0,0,1.28
22Month,0,0.55,2.73,0,0,0.55,0.55,0.55,0
