stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,20.43,4.09,0,0,0,0,0,0,0,0,0,0,8.17,0,4.09,0,0,0,0,0,85.81,0,0,0,0,0,0,0,0,0,0,0
72hpf,9.63,0,0,13.91,0,1.07,0,0,0,0,0,0,0,0,4.28,9.63,0,12.84,0,1.07,0,0,17.12,22.47,0,0,4.28,0,0,1.07,0,1.07,0,0,0
21Day,5.35,0,0,21.42,0,0,0,0,0,0,0,1.34,0,1.34,1.34,5.35,0,12.05,0,0,1.34,0,8.03,4.02,0,0,5.35,0,0,4.02,1.34,0,0,0,0
3Month,0,1.92,1.92,21.76,0.32,0,0.64,0.32,0.64,0.96,0,29.44,1.6,30.08,0.64,20.16,1.28,7.04,0.64,0,0.96,0.96,0.64,0.32,0.32,0.64,0,2.24,1.28,0.64,0,0.32,1.28,0.32,0.32
22Month,1.64,1.64,1.64,7.65,0,0,2.19,0,1.64,2.19,1.09,63.41,1.09,39.36,0,4.37,1.64,2.73,0,1.09,1.64,0,0.55,0,1.64,1.09,0,0,0,0.55,0,0,0,0,1.09
