stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,1.07,0,4.28,4.28,0,0,0,0,0,2.14,0,0,0,0,0
21Day,0,0,0,2.68,0,0,0,0,0,0,2.68,0,2.68,0,0,1.34,0,4.02,0,0,0,0,5.35,4.02,0,0,0,0,2.68,38.82,0,0,0,0,0
3Month,2.56,3.2,2.56,32.95,1.28,0.64,0.32,4.8,8.96,0.32,38.39,10.56,0.96,20.48,3.84,10.56,9.6,11.84,1.6,0,2.56,6.08,3.52,0.64,4.16,1.28,0,0.32,14.72,1855.71,1.6,0.64,7.04,269.08,7.04
22Month,0,0,0.55,2.19,0,0,0,1.64,1.64,0,20.77,0,0.55,8.2,0,0,0.55,2.73,0.55,1.64,0.55,0,1.09,0.55,0.55,0,2.73,0,2.73,418.74,0,0,0,1.09,0.55
