stage,Epithelial_cell,Intestinal_bulb_cell,Keratinocyte,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,1.07,0,0,0
3Month,0.32,0.32,0.32,0.32,0.32,0.32
