stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Hatching_gland,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,4.09,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,2.14,0,2.14,0,4.28,1.07,0,2.14,0,1.07,0,0,0
21Day,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,2.68,0,0,0,0,0
3Month,0,2.24,0.32,0,2.88,0.96,0.32,0.32,0.32,1.28,0.32,0,0,0.32,0,18.56,0,0.64,11.52,0.32
22Month,0,0,0,0,3.28,0,0,0,0,0,0,0,0.55,0.55,0,1.09,0,0,0,0
