stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte
24hpf,0,0,0,0,4.09,0,4.09,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,7.49,1.07,0,2.14,0,0,0,2.14,0
21Day,0,1.34,0,1.34,0,0,0,0,0,0,2.68,0,0,0,1.34,0,0,1.34,1.34,0,1.34,1.34,0
3Month,0,0.64,0.64,0.64,0,0.96,0.32,0.96,0.32,0.96,0.96,0.32,0.64,0.32,0,0,0.64,0,0,36.15,0,0,11.84
22Month,0.55,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,16.95,0,0,0.55
