stage,Cardiomyocyte,Epithelial_cell,Immune_progenitor_cell,Mesenchymal_cell,Neural_progenitor_cell
24hpf,0,0,0,0,4.09
72hpf,1.07,0,0,2.14,0
21Day,1.34,1.34,1.34,0,0
