stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,0,0,8.17,0,0,4.09,0
72hpf,0,1.07,0,0,0,0,0,1.07,0,0,0
21Day,0,5.35,0,1.34,0,0,8.03,0,1.34,1.34,1.34
3Month,0,0.96,0.32,0.64,0,0.64,0.64,0.64,0,0,0
22Month,0.55,2.19,0,1.09,0.55,0.55,0.55,0,0,0,0
