stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,8.17,4.09,4.09,0,0,0,0,0,0,0,0,0,0,4.09,8.17,8.17,16.35,0,0,0,12.26,102.16,0,0,4.09,0,0,0,0,0
72hpf,4.28,2.14,7.49,0,2.14,0,0,0,1.07,0,0,1.07,0,4.28,10.7,0,11.77,1.07,0,0,117.68,36.37,1.07,2.14,6.42,0,1.07,11.77,0,0
21Day,8.03,0,9.37,4.02,1.34,0,0,0,0,1.34,0,8.03,0,1.34,0,1.34,16.06,0,1.34,0,29.45,16.06,0,0,4.02,1.34,4.02,4.02,0,5.35
3Month,0,0.32,6.4,0,0,0.32,0.64,1.28,0,4.8,0.32,0.32,1.28,0.32,1.6,1.28,0.96,0,0,0.64,0.64,0.32,0.32,0,0,0,1.6,0,1.28,1.28
22Month,0,0.55,1.64,0,0,0,0.55,1.09,0.55,11.48,0.55,0,1.64,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55
