stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,24.61,1.07,0,7.49,0,0,0,0,0,0,0,0,0,8.56,1.07,1.07,0,0,0,0,7.49,4.28,0,2.14,0,0,2.14,0,1.07,0,0,0
21Day,21.42,0,0,9.37,2.68,0,0,1.34,0,0,37.48,0,0,1.34,29.45,6.69,0,0,1.34,0,1.34,1.34,0,9.37,2.68,0,0,1.34,1.34,0,0,36.14
3Month,0,1.28,0.64,7.36,0,0.32,1.28,5.76,7.36,17.28,0.96,3.52,1.28,6.08,10.56,4.8,0.64,0,0.32,1.28,0,0,0.64,0.32,0.96,5.76,0,0,0,1.28,17.28,111.66
22Month,0,1.09,0,3.83,0,0.55,0,3.28,6.56,2.19,0.55,0.55,0,0,8.75,2.73,0,1.09,0,0,0,0,0.55,0.55,0,7.11,0.55,0,0,0,0,42.64
