stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,12.26,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,24.52,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,3.21,0,0,0,2.14,3.21,1.07,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,1.34,0,0,0,0,0,0
3Month,0.32,1.6,8.32,0,3.52,0,0,11.2,0.32,4.8,1.28,0,0,0.64,0.32,1.92,4.16,0,0,5.12,0,0.64,32.31,0,0.96,0.32
22Month,0,0.55,5.47,0.55,2.73,1.64,0.55,60.68,0.55,10.93,0,0,0.55,0,5.47,0.55,0,0,0,5.47,1.09,0,22.41,0.55,0,0
