stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Mt_rich_cell,Primordial_germ_cell
3Month,0,0.32,0.32,0,0,0.32
22Month,0.55,0,0,1.09,0.55,1.64
