stage,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Primordial_germ_cell,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,8.17,0,0,0,40.86,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,0,1.07,0,0,1.07,3.21,0,1.07,0,2.14,0,0
22Month,3.28,4.92,6.01,2.19,20.23,1.09,1.64,0.55,2.19,3.83,1.64,2.19,0,1.09,0.55,0,429.67,0,1.09,1.64
