stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,4.09,4.09,24.52,4.09,0,0,0,0,0,0,4.09,8.17,4.09,16.35,0,4.09,245.18,4.09,0,0,0
72hpf,0,1.07,0,1.07,2.14,1.07,0,0,0,0,0,0,0,6.42,1.07,16.05,11.77,2.14,0,0,0
21Day,0,0,1.34,0,6.69,2.68,0,0,0,2.68,0,1.34,0,2.68,0,1.34,4.02,1.34,0,1.34,0
3Month,0,0,0.64,0,0,0,0,1.6,0.32,0,0,0,0,0,0,0,0.32,0,0.64,0,0.32
22Month,0,0,0,0,0,0,0.55,0.55,0,0,0,0,0.55,0,0.55,0,0,0,0,0,0
