stage,Erythrocyte__Liver_,Hepatocyte,Keratinocyte,Neural_progenitor_cell,Pancreatic_cell
24hpf,0,0,0,4.09,0
21Day,0,0,1.34,0,0
3Month,0,1.28,0,0,0.32
22Month,0.55,9.84,0,0,0
