stage,Cardiomyocyte,Endothelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,20.43,0,0,0,4.09,4.09,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,6.42,0,0,1.07,0,6.42,0,0,0
21Day,1.34,1.34,0,0,0,0,1.34,0,6.69,0,1.34,1.34,0,0,0,0,1.34
3Month,0,0.32,0,0.32,2.24,0.32,0,0.32,1.6,0.32,0,0,0,0,0.32,0.32,0.32
22Month,0,0,0.55,0.55,2.19,0,0,1.09,3.28,0,0.55,0,0,0,0,0,0
