stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,13.39,0,0,0,0,0,5.35,0,1.34,0,0,0,0,0,0,0,0,0
3Month,0.64,0.96,5.44,0.96,0.64,0,0.96,0.32,10.88,0.32,1.92,0.96,1.28,0.32,0,0.64,0.64,4.16,0.32,0.32
22Month,1.09,1.09,2.73,1.09,0.55,1.09,8.75,0.55,29.52,0,0,0,0.55,0,0.55,0,0,0,0,0
