stage,Hepatocyte,Immune_progenitor_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
72hpf,0,0,1.07,0,0
3Month,0,0,0,0.32,0.32
22Month,0.55,0.55,0,0,0
