stage,Granulocyte,Macrophage,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,T_cell
24hpf,0,0,0,0,8.17,0,0
72hpf,0,0,0,2.14,0,0,0
21Day,0,1.34,0,0,0,0,1.34
3Month,0,0,0.32,0,0,0,0.32
22Month,0.55,0,0,0,0,0.55,0
