stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,0,0,0
72hpf,1.07,2.14,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,18.19,0,0,2.14,1.07,14.98,1.07,0,1.07,27.81,0,0,1.07,0,0,0,0
21Day,1.34,0,0,0,1.34,0,0,0,0,0,0,0,0,2.68,0,1.34,32.12,0,0,6.69,0,10.71,2.68,0,1.34,5.35,0,0,0,1.34,0,0,1.34
3Month,0,1.92,2.24,13.44,0,0.32,0.64,3.2,0,17.6,1.92,0,5.76,3.84,3.52,4.16,9.28,2.88,0,1.92,10.24,2.56,0,0.96,0,2.88,0.32,2.88,0.32,0,2.56,6.4,3.2
22Month,0,3.28,0.55,9.84,0,0,1.09,4.37,1.09,47.01,3.28,0.55,7.65,2.19,1.09,2.73,15.31,0,0.55,1.64,0.55,0,0,2.73,0,1.09,0,1.64,0.55,0.55,0,0,1.09
