stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,0,49.53,1.34,2.68,0,0,0,0,1.34,0,4.02,0,0,1.34,0,1.34,4.02,1.34,0,1.34,2.68,1.34,0,0,0,0
3Month,0,2.88,2.88,0,0.32,0.32,0.32,0,65.91,1.92,14.72,0.32,0.64,1.28,0,0,0.32,0,0.32,0,0.96,1.92,0,0.32,1.6,0.32
22Month,1.09,2.19,1.09,0,0,3.28,0,0.55,124.64,0,20.23,0.55,0.55,1.09,0.55,0,0,0,0,0,0,0,0.55,0,0,0
