stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Granulocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,1.34,1.34,0,1.34,0,0,0,0,0,1.34
3Month,0,0,0,0,0,0.32,0,0,0,0.64,0
22Month,0,0,1.09,0.55,0,0,1.09,0.55,0,0,0
