stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,98.07,0,0,32.69,12.26,0,0,0,0,0,0,8.17,0,0,0,0,0,8.17,8.17,69.47,0,0,0,12.26,776.42,711.03,12.26,0,4.09,0,0,0,0,0,0,0,0
72hpf,39.58,5.35,0,4.28,25.67,4.28,2.14,0,0,0,0,0,0,0,1.07,0,4.28,29.95,2.14,22.47,0,0,0,9.63,795.92,26.74,2.14,31.02,19.26,0,0,12.84,0,1.07,0,0,0
21Day,54.88,0,0,62.91,9.37,6.69,1.34,0,2.68,0,0,0,1.34,0,12.05,0,4.02,21.42,8.03,26.77,0,0,10.71,1.34,212.83,8.03,1.34,9.37,5.35,13.39,0,2.68,1.34,2.68,1.34,0,9.37
3Month,0.64,2.56,0,24.32,0,0,0,0.32,17.28,2.24,0,0,4.16,0.96,0.32,3.52,7.36,6.72,2.56,1.28,0.64,0,16,26.56,1.28,0,2.88,0.64,0.32,0.96,2.56,0,0,1.28,0.32,0.96,1.92
22Month,1.09,2.19,3.83,25.69,0.55,0,0,0,18.59,1.64,53.03,0,38.81,0.55,0.55,4.92,1.09,1.64,1.09,2.73,0.55,2.19,9.29,1.09,0.55,0,2.19,1.64,0,0,0.55,0.55,0,0,0,0,0.55
