stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0
72hpf,1.07,1.07,0,0,0,0,0,1.07,19.26,3.21,1.07,0
21Day,1.34,0,0,0,0,0,0,0,22.76,0,0,0
3Month,0,0,0.96,0,0,0.64,0.32,0,0,0,0,0.32
22Month,0,0,0,0.55,0.55,8.75,0,0,0.55,0,0,0
