stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,8.17,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,16.35,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,1.07,0,0,1.07,4.28,0,0,0,0,0,0,0,0,1.07,4.28,0,1.07,0,2.14,1.07,222.52,13.91,0,0,5.35,0,0,1.07,3.21,1.07,0,1.07,0,0,0
21Day,10.71,1.34,0,8.03,14.72,0,0,1.34,0,0,0,2.68,2.68,0,8.03,1.34,17.4,0,5.35,0,338.65,9.37,0,5.35,8.03,9.37,0,1.34,6.69,8.03,6.69,0,0,0,4.02
3Month,0,0,0.32,2.56,0,0,0.32,0,0,2.56,1.28,0,1.92,0.64,1.6,0.64,2.56,0,0.64,0.32,10.88,0.32,1.28,0,0.32,0.64,0.32,29.76,0.96,0,0,0.96,0.32,4.8,0.96
22Month,0,0.55,0,1.09,0,1.09,0,3.83,1.09,34.44,1.09,0,3.28,0,0,1.64,2.73,0.55,4.37,0,30.07,0.55,0,0,0,0,0,28.43,7.11,1.09,0,0,0,0,1.09
