stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,8.17,0,0,0,0,0,36.78,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,37.44,0,0,0,0,0,6.42,2.14,0,5.35,0,0,0,0,0,0,0
21Day,0,0,0,24.09,0,0,0,0,0,0,0,0,0,1.34,0,0,28.11,0,0,0,0,0,6.69,1.34,0,4.02,0,0,1.34,1.34,0,0,0
3Month,0,4.8,1.92,64.63,0,0.64,0.32,21.12,3.52,0.32,0,5.12,21.12,0,10.88,4.16,31.04,2.56,10.88,5.12,10.24,0.96,0.32,0,5.76,0.32,0.32,1.6,0,0,1.28,4.48,0.64
22Month,0.55,9.29,4.92,32.8,0.55,0,0,13.67,9.29,1.64,0,20.77,8.2,1.09,51.39,1.64,4.92,3.28,27.88,1.09,2.73,0,0,0,0.55,0,0,1.09,0,0,0.55,0,1.09
