stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,0,12.26,44.95,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,2.14,0,0,0,0,0,0,0,0,0,0,2.14,2.14,0,2.14,0,0,0,0,27.81,5.35,0,0,1.07,1.07,0,3.21,2.14,1.07,0,0,0
21Day,1.34,2.68,13.39,1.34,1.34,0,5.35,1.34,1.34,0,1.34,0,5.35,1.34,4.02,8.03,4.02,12.05,0,0,0,0,10.71,4.02,4.02,0,0,1.34,0,5.35,0,0,0,0,5.35
3Month,0,0.64,5.44,0,0,0.64,0,16,1.6,0,31.04,0.96,0,3.84,0,0.64,1.6,1.92,0.32,0,0.32,0.32,0,0,0.32,0,0,0.96,2.24,0,0,0,0.64,0.32,0.96
22Month,0,0.55,0,0,0,0,0.55,2.19,0.55,0.55,31.71,0,1.09,4.37,0,0,0.55,1.09,0,0.55,0,0,0,0,0,0.55,0,0,1.09,0,0,0,0,0,0
