stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,2.14,0,1.07,0,0,0,0,44.93,2.14,1.07,0,3.21,0,0,1.07,0,0,0,0
21Day,5.35,0,0,8.03,2.68,0,0,0,0,0,1.34,1.34,0,0,4.02,0,2.68,0,0,0,0,0,0,24.09,2.68,0,0,0,0,0,0,0,0,0,0
3Month,0.32,0.96,4.16,16.96,0,1.6,0.32,0.64,6.08,1.92,0,11.84,4.48,0,257.24,1.28,2.88,4.48,4.48,0.64,0,0.32,0.64,0,0,2.24,0,0,2.56,2.88,0,0,1.6,1.6,1.28
22Month,0,2.19,4.37,8.2,0,0.55,0.55,0,8.75,3.83,1.09,58.49,1.09,0.55,258.02,0,0.55,3.83,4.37,0,2.19,1.09,0,0,0,1.64,1.64,0,0.55,3.28,1.09,0.55,0.55,0,0
