stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,1.07,0,4.28,0,0,0,0,0,0,0,0,0,4.28,0,0,0,4.28,2.14,0,221.45,0,0,0
21Day,1.34,0,1.34,1.34,0,0,1.34,0,0,2.68,0,0,0,0,2.68,0,1.34,0,0,161.96,0,1.34,0
3Month,0,0.32,0,0,0,0.32,0,0.64,0.32,0,0.32,0.32,0.32,0.64,2.88,3.84,0,0,0.32,12.8,0.32,0,0.32
22Month,0,0,0,0,1.09,0,0,0,0.55,0,0,0,0,0,0,0.55,0,0,0,0.55,0,0,0
