stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,28.6,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,16.35,89.9,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,2.14,0,2.14,0,0,0,0,0,0,0,0,0,0,4.28,0,7.49,0,1.07,0,202.19,26.74,0,1.07,0,3.21,0,0,4.28,100.56,127.31,20.33,0,0
21Day,17.4,0,10.71,0,12.05,0,0,0,0,0,1.34,0,2.68,1.34,0,5.35,1.34,8.03,0,0,1.34,62.91,12.05,0,0,0,2.68,1.34,0,1.34,45.51,277.08,24.09,0,4.02
3Month,0.32,0,4.8,0.32,0,0.32,0,0.96,0.96,0,7.04,0.32,0,2.24,1.28,2.56,1.6,2.24,1.28,0.64,0.32,11.2,0.32,0.64,0,0,2.88,0.32,8.64,1.6,0,0.64,8.96,2.24,1.6
22Month,0,3.28,3.83,0,0,1.09,1.64,1.09,2.19,5.47,27.88,1.09,1.09,4.37,0,2.73,2.19,4.92,0,1.09,0,13.67,1.09,1.09,0.55,0.55,0.55,0,2.73,1.09,3.83,0,10.93,0,2.73
