stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,4.09,16.35,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.21,0,0,0,0,0,0,0,0,7.49,38.51,0,0,0,1.07,0,0,5.35,3.21,0,25.67,0,0,0,1.07,0,0
21Day,1.34,1.34,0,54.88,1.34,0,1.34,0,1.34,0,5.35,6.69,4.02,33.46,5.35,5.35,0,0,0,0,4.02,2.68,0,5.35,1.34,0,1.34,0,0,1.34
3Month,0,0,0.32,16,0,0.64,3.52,1.28,33.59,0.96,0.32,9.92,3.52,3.2,2.24,0.96,0,0,0.64,0.64,0,0,0.32,0.32,0.32,5.12,0,0,0.64,1.92
22Month,0,0,0.55,7.65,0,0,0.55,0.55,36.08,0,0,12.03,0.55,1.09,1.09,1.09,0.55,0,0,0,0,0,0,0,0,3.83,0,0,0,0
