stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,36.78,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,5.35,1.07,2.14,1.07,0,0,0,0,0,0,1.07,2.14,0,9.63,0,0,0,293.12,31.02,0,5.35,0,0,3.21,80.23,115.54,0,0,0,0
21Day,1.34,0,1.34,5.35,1.34,2.68,0,0,0,1.34,0,1.34,1.34,1.34,13.39,0,13.39,0,0,0,40.16,8.03,0,5.35,0,0,2.68,108.42,520.69,1.34,1.34,0,1.34
3Month,0,0,0,8.32,0,0,0,0.32,1.6,3.52,2.24,0.32,0,0.32,1.6,1.6,2.56,0.32,0.32,0.64,0.64,0,0.32,0.32,0.32,1.92,0,0,0,0,0.32,0.96,1.6
22Month,0,0,1.09,2.19,0,0,0,0,0,6.01,0.55,0,0.55,0.55,0,0,1.64,0,0,0,0,0,0,0,0,0.55,0,0,0,2.19,0,0,0.55
