stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,1.07,1.07,0,1.07,0,0,0,1.07,1.07,2.14,0,0
21Day,1.34,1.34,0,0,0,0,0,0,0,0,2.68,0,1.34,0,0,0,0,0,0
3Month,0,0,0.32,0.32,0.32,9.6,0.96,0,0,0.32,0.32,0.32,0.32,0.32,0,0,0,0.32,0.64
22Month,0,0.55,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0
