stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,4.09,69.47,0,4.09,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,1.07,0,0,1.07,5.35,0,1.07,0,0,0,0,3.21,0,0
21Day,0,4.02,6.69,6.69,0,2.68,0,0,0,0,0,6.69,0,2.68,0,1.34,0,0,0,8.03,0,0,1.34,1.34,1.34,1.34,8.03,0,0,18.74
3Month,0,0,3.2,0,0,0,0,1.28,0,0.64,0.32,0.32,0,0.32,0.32,0,0.32,0,0,0,0,0,0,3.52,0,0,0,0,0.64,7.68
22Month,0,0,2.73,0,1.09,3.28,0.55,1.64,0.55,8.75,4.92,8.2,0.55,1.09,0.55,1.64,2.19,0.55,1.64,0.55,0,0.55,0,0.55,0,0,0,0,0,26.24
