stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,89.9,0,0,0,0,0,0,0,0,0,4.09,0,61.3,0,0,0,0,4.09,2030.94,0,16.35,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,14.98,2.14,2.14,0,0,0,0,1.07,0,2.14,19.26,0,74.89,0,0,1.07,0,33.16,133.72,0,282.42,0,0,39.58,5.35,0,0,0
21Day,5.35,0,0,18.74,0,5.35,0,0,0,0,2.68,1.34,1.34,0,0,26.77,0,0,1.34,0,8.03,45.51,0,52.2,1.34,0,13.39,1.34,0,0,0
3Month,0,0.96,0.32,26.24,0,0,0.64,0.96,4.16,1.6,0,3.2,0.96,0.64,0.64,9.6,0.64,0,1.28,0.64,0.32,2.24,0.32,0.64,0,1.92,1.28,0,1.92,0.64,0.96
22Month,0,0.55,0.55,10.93,0,0,0.55,1.09,13.12,1.09,1.09,0.55,0,2.73,1.64,0,0,1.09,1.09,0,0,0.55,0,0.55,0,1.64,7.11,0,0,0,0
