stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,8.17,4.09,0,0,0,0,28.6,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,7.49,3.21,4.28,0,0,0,4.28,3.21,4.28,0,0,0,0,0
21Day,1.34,9.37,0,2.68,0,1.34,0,0,0,0,4.02,1.34,1.34,0,0,0,2.68,1.34,1.34,1.34,0,0,0,0
3Month,0,2.56,0.32,0,0,6.4,0.64,0,0.32,0.64,1.92,3.84,0.96,0,0.32,0.32,0.32,0.32,0.32,0.64,1.92,0.32,3.52,2.24
22Month,0,1.09,0,0,0.55,8.75,0.55,0.55,1.64,0,0,1.09,1.64,1.09,0,0,0,0,0.55,0,1.09,0,0,1.09
