stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,6.42,2.14,0,0,1.07,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,1.34,0,0,1.34,0,2.68,0,0,6.69,5.35,0,0,1.34,0,0,0,0,1.34
3Month,0,0.64,0.32,7.04,0.32,0,0.64,1.92,0.32,16.64,1.6,0,2.56,0.64,2.56,1.6,1.92,1.28,0.64,0,0,0.96,0.64,0,1.6,0.64,1.6,2.56,0.96
22Month,0.55,2.19,0,1.64,0,0.55,0.55,0.55,0.55,29.52,0.55,0,2.19,0,1.64,1.09,3.28,1.09,0,0.55,0,0.55,0.55,0.55,0.55,0,0,0,0
