stage,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,4.09,0,0,0
21Day,0,0,0,0,0,1.34,0
3Month,1.28,0.64,0.32,0,0.32,0,4.48
22Month,0.55,0,0,0,0,0,1.09
