stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,8.56,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.34,2.68,0,1.34,0,0,0,0,0,0,0,0,1.34,1.34,0,0,0,9.37,4.02,0,1.34,0,0,0,0,0,0
3Month,0,1.92,0.96,12.8,0,0.64,1.6,0.32,0.96,0,13.44,11.2,1.6,1.6,0.32,2.88,15.04,1.28,0.32,0.32,0,0,0.96,0,1.28,9.28,0.32,0.32,1.28,1.28
22Month,0,0.55,0,1.09,0,0.55,0.55,0.55,2.19,1.09,8.2,28.43,3.83,0.55,0,0,8.2,0.55,0.55,0,0,0,0,0,0,2.73,0,0,0,0
