stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,2.14,2.14,0,1.07,0,0,0,0,0,0,2.14,1.07,0,2.14,0,0,2.14,0,320.94,11.77,4.28,0,4.28,0,0,2.14,1.07,1.07,0,0,0
21Day,5.35,4.02,12.05,1.34,8.03,4.02,0,0,2.68,0,1.34,0,2.68,0,24.09,0,0,33.46,0,187.39,8.03,0,2.68,6.69,2.68,1.34,2.68,12.05,13.39,0,0,1.34
3Month,0,7.68,5.44,0,0,0,1.6,0,6.08,1.6,2.24,0.64,1.28,2.24,14.72,10.24,0,8.64,1.92,5.44,0,0.32,0,0,0.32,1.6,0.32,0,0,0,0.96,0.96
22Month,0,15.85,1.64,0.55,0,0,1.64,1.64,14.76,0,2.19,0,0.55,0.55,11.48,1.64,0.55,2.73,0,16.95,0,0,0.55,1.09,0,1.64,0.55,0,0,0.55,0,1.09
