stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,4.09,0,0,151.2,0,0,0,0,0,32.69,0
72hpf,4.28,0,1.07,0,0,0,5.35,5.35,0,121.96,2.14,0,0,0,1.07,84.51,0
21Day,1.34,0,0,0,0,0,0,2.68,0,14.72,1.34,0,1.34,0,0,20.08,0
3Month,0,0.32,0,0,1.28,0.32,0,0.64,0,0,0,0,0,0.96,0,0,1.28
22Month,0,0.55,0,0.55,1.09,0,0,0,0.55,0,0,0.55,0,1.09,0,0,0
