stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.94,12.26,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,11.77,3.21,0,1.07,7.49,0,0,0,0,0,1.07,0,1.07,11.77,0,7.49,0,1.07,0,1770.5,36.37,0,0,0,8.56,0,0,1.07,0,0,1.07,0,0
21Day,9.37,1.34,18.74,0,6.69,0,2.68,0,0,0,6.69,1.34,0,28.11,4.02,21.42,0,8.03,0,920.91,8.03,0,1.34,0,4.02,8.03,0,1.34,1.34,6.69,0,0,2.68
3Month,0,0,2.24,0,0,0.64,0.32,0.32,2.24,0.96,0,1.6,0.32,1.28,2.24,2.24,0,0.32,1.28,103.02,0,0,0.32,0,0,0,5.76,0,0,0,0,1.28,0.96
22Month,0,1.64,5.47,0,0,0.55,0,0,349.86,1.64,0.55,2.73,0,2.19,2.73,0.55,25.69,0.55,0,62.87,0,0.55,0,1.64,0,0.55,5.47,0,0,0,0,0,0
