stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,20.43,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,3.21,0,0,0,1.07,0,0,1.07,0,2.14,0
21Day,0,0,0,1.34,0,0,0,0,4.02,4.02,0,0,1.34,0,1.34
3Month,0.32,0.64,0.32,0,0.32,0,0.32,0.64,0,0,0.32,0,1.28,0,0.32
22Month,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0
