stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
21Day,17.4,1.34,56.22,28.11,0,8.03,0,18.74,2.68,18.74,4.02,0,17.4,8.03,344,5.35,1.34,72.28,42.83,1.34,2.68,24.09,9.37,0,6.69,2.68,8.03,4.02,0,5.35
3Month,0,0,0.96,0,0.32,0,0.32,0.96,0.96,0,0.64,0.64,0,0,12.8,0,0.32,0,0,0,0,0,0,0.64,0,0,0,0,17.6,0.32
