stage,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Pancreatic_cell,Radial_glia
24hpf,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,3.21,0,0
21Day,0,1.34,0,0,0,0,0,5.35,0,0
3Month,0.64,0,0,0,0.64,0,0,0,0.64,0.32
22Month,0,0,2.73,1.09,0,0,0.55,0,0,0
